#name,region,country,lat,lon,location_type,flood_time,population
Ningi_West,Ningi,Nigeria,11.06787077,9.555774094,camp,,68
Ningi_East,Ningi,Nigeria,11.0606849,9.6946988,camp,,37
Gongola,Dambam,Nigeria,11.6389,10.78475,camp,,169
Danina,Warji,Nigeria,11.18265777,9.760411134,camp,,61
Filin_Shagari,Ganjuwa,Nigeria,10.90812618,9.774733767,camp,,868
Masallacin_Idi,Jamaare,Nigeria,11.70604094,10.1960705,camp,,480
Katirje,Jamaare,Nigeria,11.60761,9.89342,camp,,158
Kyawawa,Jamaare,Nigeria,11.46002319,10.10790921,camp,,139
Ariya,Gamawa,Nigeria,10.28624477,9.824744644,camp,,68
Kore,Gamawa,Nigeria,12.23414246,10.35690852,camp,,4
Kubdiya,Gamawa,Nigeria,12.20577907,10.42514546,camp,,33
Nasarawa,Zaki,Nigeria,10.61224817,9.924114785,camp,,100
Gamawaa,Gamawa,Nigeria,12.133333,10.533333,flood_zone,0,286388
Zaki,Zaki,Nigeria,12.133333,10.283333,flood_zone,0,191457
Shira,Shira,Nigeria,11.504167,10.017222,flood_zone,0,234014
Jamaare,Jama’are,Nigeria,11.668008,9.929312513,flood_zone,0,176883
Kirfi,Kirfi,Nigeria,10.4,10.4,flood_zone,0,147618
Misau,Misau,Nigeria,11.31383867,10.46504039,flood_zone,0,263487
Dambam,Dambam,Nigeria,11.67696,10.70865,flood_zone,0,150922
Itas-Gadau,Itas-Gadau,Nigeria,11.866667,9.966667,flood_zone,0,229996
Darazo,Darazo,Nigeria,10.99650117,10.40861153,flood_zone,0,251597
Toro,Toro,Nigeria,10.05958075,9.070499148,flood_zone,0,350404
Ningi,Ningi,Nigeria,11.06624,9.62589,flood_zone,0,501912
Ganjuwa,Ganjuwa,Nigeria,10.69628588,9.759562776,flood_zone,0,280486
Zakara,Ganjuwa,Nigeria,10.93687132,9.598606805,flood_zone,0,150000
